Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, all other currencies (%)",DT.CUR.OTHC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.87949999999999,7.6272,8.3133,8.50069999999999,10.1723,15.9059,17.0724,17.585,19.3456,18.8159,19.9527,18.8265,17.1811,17.1004,17.3703,17.125,17.542,17.9106,17.2782,18.1161,..
Tanzania,TZA,World,WLD,Concessional debt (% of total external debt),DT.DOD.ALLC.ZS,52.9875,11.2055,14.1555,18.0903,22.0641,22.9851,23.2564,21.7794,18.8193,18.8035,16.345,16.2528,16.4965,17.0327,15.3862,13.287,27.5976,28.4798,30.2936,32.4682,33.495,34.5896,37.2255,38.8668,40.1161,40.6432,42.2429,44.0384,45.0417,45.479,49.7076,54.2974,54.5853,62.0579,58.4232,60.1971,39.3183,45.7738,46.9661,48.5964,53.2265,52.2736,50.3422,50.6064,47.0761,45.9036,45.3543,46.7617,46.7771,45.6633,46.928,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, Deutsche mark (%)",DT.CUR.DMAK.ZS,3.1573,0.5602,0.5876,0.7784,1.2226,1.4989,1.9994,2.392,3.0728,0.7662,1.3175,1.4417,1.4809,1.3035,1.1794,1.3272,3.1094,3.5284,3.3404,3.5027,3.8895,3.7767,4.5385,4.1174,4.1678,3.2377,2.9285,1.9381,1.9648,1.5146,1.4389,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, Euro (%)",DT.CUR.EURO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.7251,5.9865,2.6041,2.8773,3.0343,7.9964,7.0397,5.9815,5.0917,3.9304,3.9144,3.6734,4.2681,3.5068,3.2654,3.5727,3.4551,2.884,3.2637,3.2749,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, French franc (%)",DT.CUR.FFRC.ZS,0,0,0,0,0,0,0.4259,0.6388,0.7242,1.4465,2.0041,2.1753,2.5426,2.1517,2.0042,2.2489,4.1482,4.4086,3.7612,3.384,3.5726,3.5925,3.4521,2.708,2.6353,2.8065,2.6579,1.9731,1.9339,1.6223,1.4549,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,0,79.6796,74.0754,68.0534,60.6202,55.0273,52.8259,52.8383,55.9452,49.2197,49.6683,42.2006,39.4768,37.6217,34.401,37.2046,14.7384,9.372,10.8426,9.0418,8.5475,8.9683,10.1773,11.4916,12.1394,10.8905,9.7277,8.4191,9.0676,11.0875,7.9004,7.4248,7.4591,8.3225,7.7835,6.9363,4.8891,3.9326,4.2164,3.3055,5.2589,5.3071,4.241,1.8555,1.8469,2.1226,2.8806,2.8975,3.0186,2.8905,2.951,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS,2.1452,0.9507,2.041,2.3774,2.7729,4.6064,4.6451,4.6865,4.9355,6.525,6.4878,6.4214,6.3384,6.2189,5.761,6.2494,7.801,8.3679,6.9605,6.4231,5.9845,5.4395,4.8407,4.3586,4.1675,8.1876,6.612,6.7233,6.8575,6.6114,11.396,12.4044,11.8066,12.2133,11.1857,10.7376,0.4555,0.3674,0.272,0.2025,0.1487,0.1065,0.0862,0.064,0.0536,0.0426,0.0375,0.0339,0.0297,0.0253,0.0236,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, Pound sterling (%)",DT.CUR.UKPS.ZS,10.9161,2.4078,2.5184,2.5465,2.8466,2.8433,2.7992,2.6326,2.5948,3.6852,4.0531,5.3413,6.3168,6.8215,7.0139,6.6089,9.6144,10.3691,10.3161,10.7832,11.7635,11.6279,10.9784,10.7391,10.4198,10.1674,10.3365,9.8841,9.3291,9.0216,8.8559,8.6699,8.0977,5.5585,5.0099,4.7429,0.6771,0.1203,0.0747,0.066,0.0529,0.0448,0.0385,0.0311,0.0263,0.0169,0.0134,0.0132,0.0118,0.0111,0.0108,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS,0,0,0,0,0,0,0,0,0,0,0.1422,0.3267,0.6768,0.727,0.8811,0.9426,1.395,1.6035,1.405,1.3833,1.3032,2.2257,2.9639,4.1412,4.9168,5.2104,5.1144,4.9663,5.1889,4.9107,5.3042,5.6101,5.5476,6.0014,7.5692,10.5328,24.914,25.3884,23.967,21.3715,18.6083,16.4989,14.1149,11.1886,9.3643,8.1478,7.4536,6.9709,6.3357,5.5552,5.3683,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, Swiss franc (%)",DT.CUR.SWFR.ZS,0,0,0.0198,0.0445,0.0618,0.1037,0.1768,0.2384,0.2986,0.362,0.3237,0.3348,0.3652,0.3071,0.2749,0.3094,0.5966,0.6628,0.5411,0.5019,0.5692,0.5281,0.6104,0.2366,0.2053,0.1226,0.0687,0.0452,0.0402,0.0329,0.0353,0.0267,0.0297,0.0331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Tanzania,TZA,World,WLD,"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS,28.2551,5.2184,5.2366,5.1054,5.21,6.5903,7.6825,8.7552,9.0855,11.8088,13.3392,14.9066,17.3122,20.1258,26.8647,24.2089,32.0528,32.0555,33.8779,36.5459,35.8792,37.6971,37.1194,38.1663,38.7507,38.8535,40.3334,46.4986,46.7977,47.1999,51.8758,52.2595,53.4456,56.9538,57.0737,53.8438,45.162,46.0792,47.9034,50.6172,53.1849,54.1756,59.0195,65.4116,68.1017,69.0344,68.9172,69.0874,69.8096,70.976,70.2553,..
