Code,Indicator Name,Short definition,Long definition,Source,Topic,Dataset,Periodicity,Aggregation method,General comments
DT.CUR.OTHC.ZS,"Currency composition of PPG debt, all other currencies (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in all other currencies not specified for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in all other currencies not specified for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.DOD.ALLC.ZS,Concessional debt (% of total external debt),Concessional debt to total external debt stocks. Concessional debt is defined as loans with an original grant element of 35 percent or more.,Concessional debt to total external debt stocks. Concessional debt is defined as loans with an original grant element of 35 percent or more.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,Annual,Weighted average,
DT.CUR.DMAK.ZS,"Currency composition of PPG debt, Deutsche mark (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Deutsche marks for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Deutsche marks for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.EURO.ZS,"Currency composition of PPG debt, Euro (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Euros for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Euros for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.FFRC.ZS,"Currency composition of PPG debt, French franc (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in French francs for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in French francs for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.JYEN.ZS,"Currency composition of PPG debt, Japanese yen (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Japanese yen for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Japanese yen for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.MULC.ZS,"Currency composition of PPG debt, Multiple currencies (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in multiple currencies for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in multiple currencies for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.UKPS.ZS,"Currency composition of PPG debt, Pound sterling (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in U.K. pound sterling for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in U.K. pound sterling for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.SDRW.ZS,"Currency composition of PPG debt, SDR (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in special drawing rights for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in special drawing rights for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.SWFR.ZS,"Currency composition of PPG debt, Swiss franc (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Swiss francs for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Swiss francs for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.USDL.ZS,"Currency composition of PPG debt, U.S. dollars (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in U.S. dollars for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in U.S. dollars for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
BN.CAB.XOKA.CD,Current account balance (current US$),"Current account balance shows the difference between the sum of exports and income receivable and the sum of imports and income payable (exports and imports refer to both goods and services, while income refers to both primary and secondary income).","Current account balance shows the difference between the sum of exports and income receivable and the sum of imports and income payable (exports and imports refer to both goods and services, while income refers to both primary and secondary income).","International Monetary Fund, Balance of Payments Statistics Yearbook.",Economic Policy & Debt: Balance of payments: Current account: Balances,International Debt Statistics,Annual,Sum,
DT.DSB.DPPG.CD,Debt buyback (current US$),"Debt buyback is the repurchase by a debtor of its own debt, discounted or at par. In the event of a buyback of long-term debt, the face value of the debt bought back will be recorded as a decline in the long-term debt stock, and the cash amount received by creditors will be recorded as a principal repayment. Data are in current U.S. dollars.","Debt buyback is the repurchase by a debtor of its own debt, discounted or at par. In the event of a buyback of long-term debt, the face value of the debt bought back will be recorded as a decline in the long-term debt stock, and the cash amount received by creditors will be recorded as a principal repayment. Data are in current U.S. dollars.","World Bank, International Debt Statistics.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",International Debt Statistics,Annual,Sum,
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$),Debt forgiveness grants data cover both debt cancelled by agreement between debtor and creditor and a reduction in the net present value of non-ODA debt achieved by concessional rescheduling or refinancing. The  data are on a disbursement basis and cover flows from all bilateral and multilateral donors. Data are in current U.S. dollars.,Debt forgiveness grants data cover both debt cancelled by agreement between debtor and creditor and a reduction in the net present value of non-ODA debt achieved by concessional rescheduling or refinancing. The  data are on a disbursement basis and cover flows from all bilateral and multilateral donors. Data are in current U.S. dollars.,Development Assistance Committee of the Organisation for Economic Co-operation and Development.,Economic Policy & Debt: Official development assistance,International Debt Statistics,Annual,Sum,The aggregate figure for all developing countries is sourced from OECD and includes all OECD countries and regions.
DT.DFR.DPPG.CD,Debt forgiveness or reduction (current US$),Debt forgiveness or reduction shows the change in debt stock due to debt forgiveness or reduction. It is derived by subtracting debt forgiven and debt stock reduction from debt buyback. Data are in current U.S. dollars.,Debt forgiveness or reduction shows the change in debt stock due to debt forgiveness or reduction. It is derived by subtracting debt forgiven and debt stock reduction from debt buyback. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",International Debt Statistics,Annual,Sum,
DT.TDS.DECB.CD,,"Central bank  debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the country’s international reserves. Data are in current U.S. dollars.","Central bank  debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity.The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the country’s international reserves.  Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,,Annual,,
DT.TDS.DEGG.CD,"Debt service on external debt, general government sector (PPG) (TDS, current US$)","General government  debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","General government  debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,International Debt Statistics,Annual,Sum,
DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)","Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,International Debt Statistics,Annual,Sum,
DT.TDS.DOPS.CD,"Debt service on external debt, other public sector (PPG) (TDS, current US$)","Other public sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","Other public sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,International Debt Statistics,Annual,Sum,
DT.TDS.PRPG.CD,"Debt service on external debt, private guaranteed by public sector (PPG) (TDS, current US$)","Private sector guaranteed by Public Sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,International Debt Statistics,Annual,Sum,
DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)","Private nonguaranteed debt service is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Private nonguaranteed debt service is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,International Debt Statistics,Annual,Sum,
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","Public and publicly guaranteed debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","Public and publicly guaranteed debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,International Debt Statistics,Annual,Sum,
DT.TDS.DEPS.CD,"Debt service on external debt, public sector (PPG) (TDS, current US$)","Public sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","Public sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,International Debt Statistics,Annual,Sum,
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)","Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF. Data are in current U.S. dollars.","Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,International Debt Statistics,Annual,Sum,
DT.DIS.DECB.CD,,"Central bank long-term debt are aggregated. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the country’s international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Central bank long-term debt are aggregated. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the country’s international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,,Annual,,
